triple_id,architecture,p_rare,Ag,R2,ms_diff,excess_kurtosis
53,rare (p=0.05),0.05,0.1615345380803249,0.19753631912241817,0.423034923769968,-0.01584653079919296
53,rare (p=0.02),0.02,0.1615345380803249,0.172140741675841,0.4524760714076163,0.0031240483317273027
53,very rare (p=0.005),0.005,0.1615345380803249,0.17540780956333407,0.4427429573563848,-0.04941220000568003
54,common (p=0.5),0.5,0.12311965430509174,0.12537219977319522,0.17936706962806143,-0.02587785035128154
54,rare (p=0.05),0.05,0.12311965430509174,0.12243919319819736,0.18286634753576075,0.0812363472099562
54,rare (p=0.02),0.02,0.12311965430509174,0.12279510319978505,0.18256845056690463,0.021249534225594946
54,very rare (p=0.005),0.005,0.12311965430509174,0.12366104584998795,0.17591440516474288,-0.007411187752838444
55,common (p=0.5),0.5,0.12245688251310478,0.12367041897937708,0.32261606348460037,0.004513910529191922
55,rare (p=0.05),0.05,0.12245688251310478,0.12527575384983655,0.3294132411938498,-0.011125350887880026
55,rare (p=0.02),0.02,0.12245688251310478,0.12775734017616625,0.31618309319251303,-0.02869382164370493
55,very rare (p=0.005),0.005,0.12245688251310478,0.12441023666226302,0.31806574465728005,0.034863689638589435
56,common (p=0.5),0.5,0.5066223364086083,0.5136086558059897,0.32300046294666546,0.003181909705644581
56,rare (p=0.05),0.05,0.5066223364086083,0.47865835253094335,0.4020405661680179,0.05907278914564662
56,rare (p=0.02),0.02,0.5066223364086083,0.442855222221867,0.36181277035229,0.14643924387457996
56,very rare (p=0.005),0.005,0.5066223364086083,0.505096394379418,0.3063108215815451,0.020526662810402052
57,common (p=0.5),0.5,0.371434627198572,0.3676856212376837,0.2548049819896436,-0.08978580172132378
57,rare (p=0.05),0.05,0.371434627198572,0.3477056942519353,0.30401802337010125,0.05098156634431805
57,rare (p=0.02),0.02,0.371434627198572,0.37897603544972436,0.25534774537025456,-0.0406655641741126
57,very rare (p=0.005),0.005,0.371434627198572,0.38733139123891364,0.2618233792330746,-0.00015704354489698424
58,common (p=0.5),0.5,0.27690878560255267,0.30003761090276393,0.4202859266872873,-0.10396242097968522
58,rare (p=0.05),0.05,0.27690878560255267,0.29581819344017174,0.4273056941532824,0.08774288969534905
58,rare (p=0.02),0.02,0.27690878560255267,0.2809412952669568,0.44101904800358005,0.005174076924300275
58,very rare (p=0.005),0.005,0.27690878560255267,0.27653829264897095,0.47734924492713404,0.039645857165695575
59,common (p=0.5),0.5,0.13164907982868,0.1442361310852514,0.5531728842152759,-0.07994631790323403
59,rare (p=0.05),0.05,0.13164907982868,0.005901293506481947,0.8870368981613782,0.1749074405535136
59,rare (p=0.02),0.02,0.13164907982868,0.13226094681884648,0.5828008732030115,-0.009440289985052308
59,very rare (p=0.005),0.005,0.13164907982868,0.06381033941380536,0.7199534233696786,0.3593710106550022
60,common (p=0.5),0.5,0.10550859490441473,0.10102969168583749,0.3851969568437928,-0.024127174798202478
60,rare (p=0.05),0.05,0.10550859490441473,0.1182187065086904,0.3582723229711349,-0.0006481241934124249
60,rare (p=0.02),0.02,0.10550859490441473,0.09801465977246787,0.369718516978025,0.03855216578607512
60,very rare (p=0.005),0.005,0.10550859490441473,0.1113800908216136,0.369011676641648,0.0894956335806042
61,common (p=0.5),0.5,0.22706235838526503,0.23024257880424595,0.27044516692580256,-0.014696729129751063
61,rare (p=0.05),0.05,0.22706235838526503,0.1980543494014511,0.2803532782575391,0.10408419063574603
61,rare (p=0.02),0.02,0.22706235838526503,0.2277813428012103,0.27383277916925064,-0.036768905045956535
61,very rare (p=0.005),0.005,0.22706235838526503,0.2311438086364123,0.30180683532386526,0.27119824087202227
62,common (p=0.5),0.5,0.11819670761531806,0.13291022970353109,1.3223580240670243,-0.021540816774509475
62,rare (p=0.05),0.05,0.11819670761531806,0.11395888937597286,1.4013847132451662,0.014008696503999274
62,rare (p=0.02),0.02,0.11819670761531806,0.2309249883018956,1.126701748092577,0.3752930018130668
62,very rare (p=0.005),0.005,0.11819670761531806,0.1390385355142231,1.2361139116282343,0.22181112123651747
63,common (p=0.5),0.5,0.13797176455076227,0.13502124516039896,0.6427045456094093,-0.0669503318083573
63,rare (p=0.05),0.05,0.13797176455076227,0.13922514474421563,0.6465493437718377,-0.01059859557951015
63,rare (p=0.02),0.02,0.13797176455076227,0.17363146127159387,0.5958377971195006,0.1327865088976231
63,very rare (p=0.005),0.005,0.13797176455076227,0.14839181188573475,0.6014104025103697,-0.020926588350115294
