generation,sigma2,sigma,b_mag,Vlin,Vquad,Ag
276,2.9712648954715926,1.7237357382938931,0.25157855305975646,0.18805660949932004,0.04414207539530908,0.8098952394353973
277,2.9714435748792436,1.72378756663321,0.2503237997916961,0.18619661138012367,0.044147384593455706,0.8083415006896058
278,2.971622247131447,1.7238393913388355,0.24907530463166816,0.1843550087013863,0.04415269389823275,0.8067780937100614
279,2.971800912229231,1.7238912124113954,0.24783303636722875,0.18253161954282413,0.04415800330963245,0.805205007825289
280,2.9719795701736222,1.7239430298515153,0.24659696394160643,0.18072626378312628,0.04416331282764695,0.8036222332167825
281,2.972158220965646,1.7239948436598196,0.24536705645292634,0.1789387630821672,0.04416862245226838,0.8020297609311945
282,2.972336864606329,1.7240466538369341,0.24414328315343709,0.17716894086339327,0.044173932183488925,0.8004275828924814
283,2.972515501096698,1.7240984603834835,0.24292561344874244,0.17541662229638483,0.044179242021300774,0.7988156919139997
284,2.9726941304377767,1.724150263300092,0.24171401689703645,0.17368163427958977,0.04418455196569606,0.7971940817105475
285,2.972872752630593,1.724202062587385,0.24050846320834213,0.17196380542322828,0.044189862016667004,0.795562746910345
286,2.9730513676761703,1.7242538582459865,0.23930892224375455,0.17026296603236646,0.04419517217420574,0.7939216830669504
287,2.973229975575533,1.7243056502765202,0.23811536401468703,0.16857894809015717,0.044200482438304434,0.7922708866711055
288,2.9734085763297076,1.7243574386796108,0.23692775868212176,0.16691158524124733,0.0442057928089553,0.790610355162504
289,2.9735871699397167,1.7244092234558817,0.23574607655586352,0.16526071277534793,0.04421110328615048,0.7889400869414784
290,2.9737657564065865,1.724461004605957,0.23457028809379765,0.1636261676109679,0.0442164138698822,0.7872600813805993
291,2.97394433573134,1.7245127821304602,0.23340036390115132,0.16200778827930776,0.04422172456014262,0.7855703388361819
292,2.9741229079149996,1.724564556030014,0.23223627472975883,0.16040541490831312,0.04422703535692388,0.7838708606596928
293,2.97430147295859,1.7246163263052423,0.23107799147733019,0.15881888920688572,0.0442323462602182,0.7821616492090528
294,2.974480030863135,1.724668092956768,0.22992548518672384,0.15724805444925052,0.04423765727001779,0.7804427078598284
295,2.9746585816296554,1.7247198559852135,0.22877872704522242,0.1556927554594771,0.04424296838631477,0.7787140410163075
296,2.9748371252591754,1.7247716153912016,0.22763768838381274,0.15415283859615503,0.04424827960910139,0.7769756541224521
297,2.9750156617527175,1.7248233711753553,0.22650234067646874,0.15262815173721936,0.0442535909383698,0.7752275536727221
298,2.9751941911113047,1.7248751233382968,0.22537265553943872,0.15111854426492757,0.044258902374112265,0.773469747222766
299,2.9753727133359567,1.7249268718806479,0.22424860473053532,0.14962386705098377,0.04426421391632087,0.7717022433999687
300,2.9755512284276975,1.7249786168030308,0.22313016014842982,0.1481439724418113,0.04426952556498791,0.769925051913855
301,2.9757297363875477,1.7250303581060675,0.22201729383194937,0.1466787142439697,0.04427483732010553,0.7681381835663375
302,2.9759082372165286,1.7250820957903796,0.2209099779593782,0.1452279477097169,0.044280149181665944,0.7663416502618078
303,2.976086730915662,1.7251338298565888,0.21980818484776168,0.14379152952271312,0.04428546114966136,0.7645354650170602
304,2.9762652174859667,1.725185560305316,0.21871188695221475,0.14236931778386747,0.04429077322408395,0.7627196419710455
